id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26936214,Rental unit in Marrickville · 1 bedroom · 2 beds · 1 bath,21351470,Nikki,,Marrickville,-33.90473,151.14841,Entire home/apt,250,90,0,,,1,0,0,
27295254,Home in Wattle Grove · ★4.94 · 2 bedrooms · 3 beds · 1 private bath,91223365,Sharmilee,,Liverpool,-33.96234,150.94812,Private room,75,90,36,3/2/2020,0.61,1,178,0,
26571663,Townhouse in Randwick · 1 bedroom · 1 bed · 1 shared bath,23827428,Ophélie,,Randwick,-33.92196,151.24078,Private room,45,90,2,1/9/2018,0.03,1,0,0,
26940858,Condo in Sydney Olympic Park · ★4.87 · 2 bedrooms · 3 beds · 2 baths,49961463,Ting,,Auburn,-33.84754,151.07564,Entire home/apt,148,90,45,24/2/2020,0.76,4,0,0,
26954571,Rental unit in Mosman · ★5.0 · 1 bedroom · 1 bed · 1 bath,47841865,Sarah,,Mosman,-33.83127,151.24155,Entire home/apt,84,90,7,31/8/2018,0.12,1,0,0,
26575803,Rental unit in Manly · 1 bedroom · 1 bed · 1 shared bath,32566937,Sofia,,Manly,-33.79105,151.28488,Private room,65,90,0,,,1,0,0,
27295662,Rental unit in Potts Point · ★4.60 · 1 bedroom · 1 bed · 1 bath,3677300,Mitchell,,Sydney,-33.86711,151.22569,Entire home/apt,110,90,6,12/11/2019,0.11,1,0,0,
26958616,Rental unit in Gymea · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,24721253,Sally,,Sutherland Shire,-34.03423,151.08416,Entire home/apt,178,90,5,16/11/2021,0.09,2,0,0,
26960929,Rental unit in Surry Hills · ★4.66 · Studio · 1 bed · 1 bath,283812868,Krystina,,Sydney,-33.88708,151.21344,Entire home/apt,136,2,140,4/5/2023,2.4,28,1,35,PID-STRA-16198-6
27298884,Home in Revesby · 4 bedrooms · 1 bed · 1 shared bath,41147442,Menchie,,Bankstown,-33.9418,151.01525,Private room,85,90,0,,,1,365,0,
26578005,Rental unit in Bondi Junction · 1 bedroom · 1 bed · 1 shared bath,199852844,Sunny,,Waverley,-33.89317,151.24953,Private room,50,90,0,,,1,0,0,
26963388,Rental unit in Homebush · ★4.35 · 2 bedrooms · 1 bed · 2 baths,135163255,Aaron,,Strathfield,-33.86338,151.08011,Private room,58,90,25,3/9/2019,0.42,2,0,0,
26581262,Home in North Curl Curl · 2 bedrooms · 2 beds · 1 bath,50947317,Andy,,Warringah,-33.76085,151.28857,Entire home/apt,175,90,0,,,1,0,0,
26966399,Rental unit in Coogee · 3 bedrooms · 4 beds · 2 baths,2450066,Hotelesque,,Randwick,-33.91893,151.25195,Entire home/apt,323,60,1,29/7/2019,0.02,96,163,0,PID-STRA-18054
26581385,Villa in Marsfield · 1 bedroom · 1 bed · 2 baths,199871133,Hongyuan,,Ryde,-33.78042,151.10141,Private room,148,90,0,,,1,90,0,
26582407,Rental unit in Hurstville · ★4.86 · 2 bedrooms · 4 beds · 2.5 baths,29006361,Meilin,,Hurstville,-33.96771,151.11197,Entire home/apt,350,3,28,20/1/2023,0.47,2,281,6,PID-STRA-11529-1
27300171,Townhouse in Waterloo · ★4.71 · 4 bedrooms · 9 beds · 2 baths,30826561,Hai,,Sydney,-33.90596,151.20567,Entire home/apt,421,90,42,14/5/2020,0.77,15,0,0,
26968904,Rental unit in Millers Point · ★4.93 · 2 bedrooms · 2 beds · 2 baths,185276617,The Workmens Dwellings,,Sydney,-33.85722,151.20242,Entire home/apt,342,3,28,19/4/2022,0.48,5,0,0,PID-STRA-15404
27300604,Rental unit in Surry Hills · ★4.52 · 2 bedrooms · 3 beds · 2 baths,158105565,Gabrielle,,Sydney,-33.88859,151.21197,Entire home/apt,146,1,181,2/6/2023,3.11,2,33,76,PID-STRA-9903
26972100,Home in Berowra Waters · ★4.88 · 1 bedroom · 1 bed · 1 bath,7033617,Belle,,Hornsby,-33.542606,151.145615,Entire home/apt,646,2,86,20/4/2023,1.51,1,256,16,PID-STRA-6826
27314313,Guest suite in Balmain · ★4.97 · 1 bedroom · 1 bed · 1 bath,55495274,Graeme,,Leichhardt,-33.85474,151.17539,Entire home/apt,200,3,35,6/1/2023,0.61,2,0,20,PID-STRA-39444
26583431,Rental unit in Centennial Park · ★5.0 · 1 bedroom · 1 bed · 1 bath,171507627,Veronika,,Sydney,-33.8893,151.22802,Entire home/apt,140,90,3,22/8/2018,0.05,2,0,0,
26591749,Rental unit in Chippendale · Studio · 1 bed · 1 bath,124667508,Michael,,Sydney,-33.88643,151.19817,Entire home/apt,78,90,1,9/7/2018,0.02,1,0,0,
26992403,Home in Surry Hills · ★4.50 · 1 bedroom · 2 beds · 1.5 baths,2855698,David,,Sydney,-33.88086,151.21265,Private room,89,5,4,4/5/2023,0.07,7,162,2,
26606565,Rental unit in Redfern · 2 bedrooms · 1 bed · 1 private bath,37969339,Michael,,Sydney,-33.89268,151.19902,Private room,55,90,2,5/11/2018,0.04,3,0,0,
27316195,Home in Balmain · 3 bedrooms · 3 beds · 2 baths,55495274,Graeme,,Leichhardt,-33.85347,151.17464,Entire home/apt,780,90,0,,,2,0,0,
26996571,Rental unit in Surry Hills · ★4.0 · Studio · 1 bed · 1 bath,201709024,Ashleigh,,Sydney,-33.88872,151.21581,Entire home/apt,100,90,11,31/1/2019,0.19,3,0,0,
27317117,Yurt in Avalon Beach · ★4.67 · 3 beds · 1 private bath,1428325,James,,Pittwater,-33.63707,151.32497,Private room,199,1,97,6/5/2023,1.68,2,178,29,
26996925,Home in Strathfield · 6 bedrooms · 2 beds · 2 shared baths,198254494,영석,,Burwood,-33.88009,151.09533,Shared room,80,90,2,22/10/2019,0.05,1,180,0,
27317375,Home in Bondi Junction · 4 bedrooms · 5 beds · 2 baths,154241085,Guy,,Waverley,-33.8932,151.24303,Entire home/apt,700,90,0,,,1,0,0,
26606979,Tiny home in Agnes Banks · ★4.91 · 1 bedroom · 2 beds · 1 bath,154813436,Tiny Away,,Penrith,-33.6287,150.69496,Entire home/apt,290,1,161,2/6/2023,2.76,1,0,32,Exempt
26998554,Rental unit in Stanmore · ★4.91 · 1 bedroom · 1 bed · 1 bath,127334646,Dini,,Marrickville,-33.88873,151.17052,Entire home/apt,145,2,162,5/6/2023,2.8,1,41,38,PID-STRA-3310
26607820,Home in Lindfield · 4 bedrooms · 9 beds · 2 baths,17176810,Sinead,,Ku-Ring-Gai,-33.7832,151.16989,Entire home/apt,800,90,0,,,1,358,0,
26608576,Rental unit in Vaucluse · ★5.0 · 3 bedrooms · 3 beds · 2 baths,13499029,Kate,,Woollahra,-33.84765,151.28256,Entire home/apt,170,90,8,16/6/2019,0.14,1,0,0,
27320842,Rental unit in Oxley Park · ★4.78 · 1 bedroom · 2 beds · 1 bath,12196870,Mark,,Penrith,-33.76574,150.79282,Entire home/apt,93,2,124,21/5/2023,2.11,3,342,17,PID-STRA-3162
27321954,Rental unit in Coogee · ★5.0 · 1 bedroom · 1 bed · 1 private bath,11054335,Sam,,Randwick,-33.9143,151.2532,Private room,44,90,3,21/8/2018,0.05,1,0,0,
